ROOT,EKUMENSKI,NATLANG ANCESTRY,AUXLANG ANCESTRY,PART OF SPEECH,ENGLISH
ENI,enikvo,,,pron.,anything
ENIGMA,enigma,,,n.,enigma
ENIGMA,enigmali,,,adj.,enigmatic
ENORM,enormi,,,adj.,enormous
ENTERPREN,enterpren,,,n.,enterprise
ENTERPREN,enterprener,,,n.,entrepreneur
ENTERPREN,enterprenerli,,,adj.,entrepreneurial
ENTERPREN,enterprenernis,,,n.,entrepreneurship
EON,eon,,,n.,aeon
EPIDEMIA,epidemia,,,n.,epidemic
EPIDEMIA,epidemiali,,,adj.,epidemic
EPOK,epok,,,n.,"epoch, age, era"
EPOK,epokali,,,adj.,"epochal (highly important or significant; monumental, epoch-making)"
EPOK,epokfaktenti,,,adj.,epoch-making
EPOK,epokli,,,adj.,epochal (of or pertaining to an epoch)
ERAZ,eraze,,,v.,erase
ERAZ,eraznis,,,n.,erasure
ERB,erbe,G,(UG=),v.,inherit
ERB,erber,,,n.,heir
ERB,erbli,,,adj.,hereditary
ERB,erbnis,,,n.,"heritage, legacy"
ERD,erd,G,,n.,earth
ERD,erda,,,n.,Earth
ERD,erdatmosfer,,,n.,earth atmosphere
ERD,erdsejzmo,,,n.,earthquake
EREKCION,erekcion,,,n.,erection (sexual)
ERG,erg,,,n.,erg (landform)
ERGER,erger,G,,n.,"trouble; annoyance, anger"
ERGER,ergere,,,v.,"annoy, make angry"
ERGER,ergerenti,,,adj.,annoying
ERGER,ergerli,,,adj.,annoyed
ERGO,ergometer,,,n.,ergometer
ERGO,ergonomia,,,n.,"ergonomics, ergonomy"
ERGO,ergonomiali,,,adj.,ergonomic
ERNST,ernsti,,(UG=),adj.,"earnest, serious"
ERNST,ernstinis,,,n.,"earnestness, seriousness"
EROR,eror,,,n.,error
EROR,erore,,,v.,"err, be wrong, be mistaken"
EROTIK,erotik,,,n.,eroticism
EROTIK,erotikli,,,adj.,erotic
EROZ,eroze,,,v.,erode
EROZ,eroznis,,,n.,erosion
ERUPT,erupte,,,v.,erupt
ERUPT,eruptnis,,,n.,eruption
ESE,ese,,,v.,be
ESKAL,eskale,,,v.,escalate
ESKAL,eskalnis,,,n.,escalation
ESKAP,eskap,,,n.,escape
ESKAP,eskape,,,v.,escape
ESLUŠ,esluše,,,v.,hear out
ESPRESO,espreso,,,n.,espresso
ESTETIK,estetik,,,n.,aesthetics
ESTETIK,estetikli,,,adj.,aesthetic
ETANOL,etanol,,,n.,ethanol
ETIK,etik,,,n.,ethics
ETIK,etikli,,,adj.,ethic(al)
ETIKET,etiket,,,n.,"label, tag"
ETIKETA,etiketa,,,n.,etiquette
EVAKUAT,evakuate,,,v.,evacuate
EVAKUAT,evakuatnis,,,n.,evacuation
EVANGELIA,evangelia,,,n.,gospel (New Testament)
EVENT,event,,,n.,event
EVENT,eventhorizont,,,n.,event horizon
EVER,ever,G,,adv.,ever
EVIDENT,evidenti,,,adj.,obvious
EVIT,evitabli,,,adj.,avoidable
EVIT,evite,,,v.,avoid
EVIT,evitnis,,,n.,avoidance
EX,ex,,,prep.,out
EX,exput,,,n.,output
EX,extrosurse,,,v.,outsource
EX,extrosursnis,,,n.,outsourcing
EX(TRO)VEJ,ex(tro)vej,,,n.,way out
EXAGER,exagere,,,v.,exaggerate
EXAGER,exagernis,,,n.,exaggeration
EXAKT,exakti,,,adj.,exact
EXAKT,exaktim,,,adv.,exactly
EXAKT,exaktnis,,,n.,exactness
EXAMIN,examin,,,n.,exam
EXAMIN,examine,,,v.,examine
EXBREK,exbrek,,,n.,outbreak
EXBREK,exbreke,,,v.,outbreak
EXCEL,excele,,,v.,"stick out, stand out"
EXCEL,excelenti,,,adj.,excellent
EXCEL,excelentnis,,,n.,excellence
EXCELENS,excelens,,,n.,excellency
EXCEPT,excepte,,,v.,except
EXCEPT,exceptli,,,adj.,exceptional
EXCEPT,exceptnis,,,n.,exception
EXCES,exces,,,n.,excess
EXCES,excese,,,v.,exceed
EXCES,excesivi,,,adj.,excessive
EXCIT,excite,,,v.,excite
EXCIT,excitnis,,,n.,excitement
EXEKUT,exekute,,,v.,execute
EXEKUT,exekuter,,,n.,executor
EXEKUT,exekutivi,,,adj.,executive
EXEKUT,exekutnis,,,n.,execution
EXERCIT,exercit,,,n.,exercise
EXERCIT,exercite,,,v.,exercise
EXFLU,exflu,,,n.,issue (outflow of bodily fluid)
EXHAUST,exhauste,,,v.,exhaust
EXHAUST,exhaustenti,,,adj.,exhausting
EXHAUST,exhaustivi,,,adj.,exhaustive (excluding every possible element)
EXHAUST,exhaustnis,,,n.,exhaustion
EXHIB,exhibe,,,v.,exhibit
EXHIB,exhiber,,,n.,exhibitor
EXHIB,exhibnis,,,n.,exhibition
EXHOD,exhod,,,n.,exit (walking)
EXHUM,exhume,,,v.,exhume
EXHUM,exhumnis,,,n.,exhumation
EXIGENTI,exigenti,,,adj.,exigent (demanding; needing great effort)
EXIL,exil,,,n.,exile
EXIST,existe,,,v.,exist
EXIST,existenti,,,adj.,"existing, existent"
EXIST,existnis,,,n.,existence
EXIT,exit,,,n.,exit
EXIT,exite,,,v.,exit
EXKIKE,exkike,,,v.,kick out
EXKLAM,exklame,,,v.,exclaim
EXKLAM,exklamnis,,,n.,exclamation (> exklam?)
EXKLUZ,exkluz se,,,v.,lock out oneself
EXKLUZ,exkluze,,,v.,"exclude, debar; rule out, preclude"
EXKLUZ,exkluznis,,,n.,exclusion
EXKRAZE,exkraze,,,v.,crush
EXKREMENT,exkrement,,,n.,excrement
EXKUZ,exkuza,,,n.,excuse
EXKUZ,exkuzabli,,,adj.,excusable
EXKUZ,exkuze,,,v.,excuse
EXLI,exli,,,adj.,outer
EXLI,exlilim,,,adv.,"out, outside"
EXMORTE,exmorte,,,v.,"die out, become extinct"
EXO,exohul,H,,n.,outer hul
EXO,exoland,,,n.,foreign countries (collectively)
EXO,exolandli,,,adj.,foreign
EXO,exoposto,,,n.,outpost
EXPAKE,expake,,,v.,unpack
EXPANS,expanse,,,v.,expand
EXPANS,expansivi,,,adj.,expansive
EXPANS,expansnis,,,n.,expansion
EXPEDICION,expedicion,,,n.,expedition
EXPEJ,expeje,,,v.,UNDEFINED
EXPEJ,expejnis,,,n.,payout
EXPEKT,expektabli,,,adj.,expectable
EXPEKT,expekte,,,v.,expect
EXPEKT,expektnis,,,n.,expectation
EXPEL,expele,,,v.,expel
EXPERIENS,experiens,,,n.,experience
EXPERIENS,experiense,,,v.,experience
EXPERIMENT,experiment,,,n.,experiment
EXPERIMENT,experimente,,,v.,experiment
EXPERIMENT,experimentli,,,adj.,experimental
EXPERT,expert,,,n.,expert
EXPERT,expertiza,,,n.,expertise
EXPLIK,explikabli,,,adj.,explicable
EXPLIK,explike,,,v.,explain
EXPLIK,expliknis,,,n.,explanation
EXPLOJ,exploje,,,v.,"dismiss, let go (imployment relationship)"
EXPLOJ,explojnis,,,n.,dismissal
EXPLOT,explote,,,v.,exploit
EXPLOT,explotnis,,,n.,exploitation
EXPLOZ,exploze,,,v.,explode
EXPLOZ,explozivi,,,adj.,explosive
EXPLOZ,exploznis,,,n.,explosion
EXPOJNTE,expojnte,,,v.,point out
EXPORT,export,,,n.,export
EXPORT,exporte,,,v.,export
EXPORT,exporter,,,n.,exporter
EXPOZE,expoze,,,v.,UNDEFINED
EXPRES,exprese,,,v.,express
EXPRES,expresionismo,,,n.,expressionism
EXPRES,expresivi,,,adj.,expressive
EXPRES,expresivnis,,,n.,expressiveness
EXPRES,expresnis,,,n.,expression
EXPULS,expulse,,,v.,expel (remove from membership)
EXŠALTE,exšalte,,,v.,"switch off, turn off"
EXTERMIN,extermine,,,v.,exterminate
EXTERMIN,exterminnis,,,n.,extermination
EXTINT,extinte,,,v.,extinguish
EXTINT,extintnis,,,n.,extinction
EXTRA,extra,,,adv.,outside of
EXTRA,extralexlin,,,n.,outlaw
EXTRA,extraordinari,,,adj.,extraordinary
EXTRA,mest extrali,,,adj.,outermost
EXTREM,extremi,,,adj.,extreme
EXTREM,extremismo,,,n.,extremism
EXTRO,extro,,,adv.,out (movement)
EXVELOPE,exvelope,,,v.,unwrap
FA,fa,,,adv.,ago (placed before the noun)
FA,fa multi jares,,,expr.,many years ago
FABRIK,fabrik,,,n.,factory
FACIL,facili,,,adj.,easy
FACIL,facilize,,,v.,ease
FACIL,facilnis,,,n.,easiness
FAD,fadi,,,adj.,"tasteless (boring; characterless, colorless etc.); insipid, vapid, flavorless, bland"
FAD,fadnis,,,n.,"tastelessness, insipidness"
FAG,fagabli,,,adv.,"eatable, edible"
FAG,fage,H,,v.,eat
FAGOT,fagot,,,n.,bassoon
FAJL,fajl,G,,n.,file (tool)
FAJL,fajle,,,v.,file
FAJN,fajni,,,adj.,fine
FAJND,fajnd,G,,n.,enemy
FAJND,fajndli,,,adj.,hostile
FAJND,fajndlinis,,,n.,hostility
FAJND,fajndnis,,,n.,enmity
FAJT,fajt,G,,n.,"fight, combat"
FAJT,fajte,,,v.,fighter
FAJT,fajter,,,n.,fighter
FAJT,fajtivi,,,adj.,"combative, pugnacious"
FAJT,fajtlet,,,n.,brawl
FAKAP,fakap,G,,n.,fuckup
FAKAP,fakape,,,v.,fuck up
FAKT,fakt,,,n.,fact
FAKT,faktabli,,,adj.,"feasible, doable"
FAKT,fakte,,,v.,"do, make"
FAKT,fakterija,,,n.,workshop (room/place where things are manufactured; cf. seminar)
FAKT,faktli,,,adj.,factual
FAKT,faktnis,,,n.,deed
FAKTOR,faktor,,,n.,factor
FAKTUR,faktur,,,n.,"bill, invoice"
FAKTUR,fakturabli,,,adj.,billable
FAKTUR,fakture,,,v.,bill
FAL,fal,,,n.,flaw
FAL,falabli,,,adj.,fallible
FAL,fale,,,v.,fail
FAL,faler,,,n.,"someone who fails, loser"
FAL,fallesi,,,adj.,flawless
FAL,falnis,,,n.,failure
FALK,falk,G,,n.,falcon
FALS,falsi,,,adj.,"wrong, false"
FALS,falsim,,,adv.,falsely
FALS,falsize,,,v.,falsify
FALS,falsiznis,,,n.,falsification
FALS,"falsjur, falsjurnis",,,n.,prejury
FALX,falx,,(UG=),n.,scythe
FALX,falxlet,,,n.,sickle (> sjerp?)
FAM,fam,,,n.,fame
FAM,famozi,,,adj.,famous
FAMILIA,familia,,,n.,family
FAMILIA,familiali,,,adj.,"familial, of or pertaining to family"
FAMILIA,familiari,,,adj.,"familiar (known, aquainted)"
FANTOM,fantom,,,n.,"phantom, spectre, ghost"
FARAON,faraon,,,n.,pharao
FARE,fare,,,v.,drive (a vehicle; cf. pele)
FARMACEUTIK,farmaceutik,,,n.,pharmaceutics
FARMAK,farmak,,,n.,drug (substance used as a medical tratment; cf. drog)
FARMAK,farmakologia,,,n.,pharmacology
FARN,farn,G,,n.,fern
FARS,fars,,,n.,farce
FASCIN,fascine,,,v.,fascinate
FASCIN,fascinenti,,,adj.,fascinating
FASCIN,fascinnis,,,n.,fascination
FASOL,fasol,,,n.,bean
FAŠ,fašismo,,,n.,fascism
FAŠ,fašist,,,n.,fascist
FAŠ,fašisti,,,adj.,fascist
FAT,fat,G,,n.,barrel
FATA,fata,,,n.,fate
FATA,fatali,,,adj.,fatal
FAUL,faul,G,,n.,foul (football)
FAUL,faulspil,,,n.,foul play
FAUN,faun,,,n.,faun
FAUST,faust,G,,n.,fist
FAUST,prende sui vol in faust,G,,expr.,pull oneself together
FAUT,faut,,,n.,"fault, mistake"
FAUT,fautlet,,,n.,blunder
FAVOR,favor,,,n.,favor
FAVOR,favorli,,,adj.,favorable
FAX,fax,,,n.,fax
FAX,faxe,,,v.,"fax, send a fax"
FAZA,faza,,,n.,"phase, stage"
FAZANT,fazant,,,n.,pheasant
FE,fe,,,v.,optional short form for > fakte; only in present tense
FEA,fea,,,n.,fairy
FEBRUAR,februar,,,n.,February
FEDERAT,federatli,,,adj.,federal
FEDERAT,"federatnis, federacion",,,n.,federation
FEJ,feje,G,,v.,sweep
FEJ,fejil,,,n.,"besom, broom"
FEJK,fejk,G,,n.,fake
FEJK,fejke,,,v.,fake
FEJS,fejs,G,,n.,face
FEJS,fejsliftnis,,,n.,facelifting
FELD,feld,G,(UG=),n.,field
FELD,feldfrukt,,,n.,crop
FELD,feldspat,G,,n.,feldspar
FELIS,felisi,,,adj.,happy
FELIS,felisnis,,,n.,happiness
FELT,felt,,,n.,felt
FEM,fem,,,n.,"woman, female"
FEM,femli,,,adj.,female
FEM,femoman,,,n.,womanizer
FENIKI,feniki,,,adj.,Phoenician
FENIX,fenix,,,n.,phoenix
FENKUL,fenkul,,,n.,fennel
FENOMEN,fenomen,,,n.,phenomenon
FENOMEN,fenomenali,,,adj.,phenomenal (remarkable)
FENOMEN,fenomenli,,,adj.,phenomenic
FERE,fere,,,v.,bring
FERIAS,ferias,,,n.,holiday (vacation in school or university)
FERN,ferni,G,(UG=),adj.,"far, distant"
FERN,"fernnis, fernia",,,n.,distance
FERS,fersi,,,adj.,fierce
FERTIL,fertili,,,adj.,fertile
FERTIL,fertilize,,,v.,fertilize
FERTIL,fertilizer,,,n.,fertilizer
FERTIL,fertilnis,,,n.,fertility
FERVOR,fervor,,,n.,fervor
FEST,fest,,,n.,feast
FEST,festdej,,,n.,"holiday (day of a festival, religious event, or national celebration)"
FEST,feste,,,v.,"feast, celebrate"
FEST,festlet,,,n.,party
FEST,festlete,,,v.,party
FEST,festnis,,,n.,celebration
FEŠ,feši,G,,v.,jaunty (dapper or stylish)
FETIŠ,fetiš,,,n.,fetish
FIBRA,fibra,,,n.,fibre
FID,fid,,,n.,faith
FID,"fidabli, fidverdi",,,adj.,"reliable, trustworthy"
FID,"fidablinis, fidverdnis",,,n.,reliability
FID,fide,,,n.,rely
FID,fidli,,,adj.,faithful
FIE,fie,,,v.,become
FIE,di dor fie kluzeni,,,expr.,the door is being closed
FIE,el ve fie medik,,,expr.,he/she will become a doctor
FIE,to fie trudli,,,expr.,this is getting difficult
FIGA,figa,,,n.,fig
FIGEL,figel,S,,n.,prank
FIGUR,figur,,,n.,figure
FIK,fik,G,,n.,(vulgar) fuck
FIK,fike,,,v.,fuck
FIK,fiklet,,,n.,quickie
FIKTE,fikte,,,v.,"come up with, to think up, to make up (a story, a plan, a strategy, lies etc.)"
FIKTE,fiktnis,,,n.,fiction
FILIE,filie,,,v.,like
FILM,film,,,n.,"film, movie"
FILM,filme,,,v.,film
FILOZOF,filozof,,,n.,philosopher
FILOZOF,filozofe,,,v.,philosofize
FILOZOF,filozofia,,,n.,philosophy
FILTER,filter,,,n.,filter
FILTER,filtere,,,v.,filter
FILTER,filternis,,,n.,filtration
FINANS,finans,,,n.,finance
FINANS,finanse,,,v.,finance
FIND,finde,G,,v.,find
FIND,me finde ke…,G,,expr.,I find that…
FINGER,finger,G,,n.,finger
FINGER,fingerhelm,,,n.,thimble
FINGER,fingernejl,,,n.,fingernail
FINGER,fingertop,,,n.,fingertip
FINK,fink,G,,n.,finch
FIRLEFANC,firlefanc,G,,n.,"superfluous, useless stuff; nonsense"
FIRM,firmi,,,adj.,"firm, tight, fast"
FIRM,firmize,,,v.,fasten
FIRMA,firma,,,n.,"firm, company"
FIRMAMENT,firmament,,,n.,firmament
FIRN,firn,G,,n.,firn
FIŠ,fiš,G,,n.,fish
FIŠ,fiščont,,,n.,fishbone
FIŠ,fiše,,,v.,fish
FIŠ,fišer,,,n.,fisherman
FIVER,fiver,,,n.,fever
FIZIK,fizik,,,n.,physics
FIZIK,fiziker,,,n.,physicist
FIZIK,fizikli,,,adj.,physical (referring to physics)
FJEDER,fjeder,G,,n.,spring (device)
FJEL,fjel,,,n.,"bile, gall"
FJEL,fjelvesik,,,n.,gallbladder
FJEN,fjen,,,n.,hay
FJEN,fjenfiver,,,n.,hayfever
FJER,fjer,,,n.,iron
FJER,fjerkortin,,,n.,iron curtain
FJER,fjervej,,,n.,railway
FJUI,fjui,G,,adj.,few
FJUI,fjuim,,,adv.,few
FLAG,flag,,,n.,flag
FLAJ,flaj,G,,n.,fly
FLAJ,flajgrib,,,n.,fly agaric
FLAJŠ,flajš,G,,n.,meat; flesh
FLAJŠ,flajšli,,,adj.,carnal
FLAK,flak,,,n.,puddle
FLAM,flam,,,n.,flame
FLAM,flamjeter,,,n.,flamethrower
FLANK,flank,,,n.,"wing (archit., polit.)"
FLANŠ,flanš,,,n.,flange
FLAP,flap,G,,n.,flap
FLARE/FLAKRE,flare/flakre,G,,v.,flare
FLATR,flatre,G,,v.,flutter
FLAUM,flaum,G,,n.,> plumlet?
FLAUT,flaut,,,n.,flute
FLEGMA,flegma,,,n.,phlegma
FLEKT,flektabli,,,adj.,"flexible (capable of being flexed or bent without breaking; cf. flexibli), supple"
FLES,fles,G,,n.,bottle
FLEŠ,fleš,,,n.,arrow
FLET,flet,"G,S",,n.,flight
FLET,flete,,,v.,fly
FLET,fleter,,,n.,aviator
FLET,fletikul,,,n.,"airplane, aircraft"
FLET,fletil,,,n.,wing (anat.)
FLET,fletmaus,,,n.,bat
FLET,fletnis,,,n.,aviation
FLET,fletodrom,,,n.,airfield
FLET,fletporto,,,n.,airport
FLEXIBL,flexibli,,,adj.,flexible (capable of adapting or changing to suit new or modified conditions or situations; willing or prone to give way to the influence of others; cf. flektabli)
FLEXIBL,flexiblinis,,,n.,flexibility
FLIK,flike,G,(UG=),v.,patch
FLIKT,flikte,,,v.,strike (hit; cf. strajke)
FLINK,flinki,G,,adj.,swift
FLINK,flinknis,,,n.,swiftness
FLINTLIT,flintlit,,,n.,flintstone
FLIRT,flirt,G,,n.,flirt
FLIRT,flirte,,,v.,flirt
FLIT,flit,G,,n.,diligence
FLIT,flitli,,,adj.,diligent
FLOEM,floem,,,n.,phloeme
FLOK,flok,G,,n.,flake
FLOR,flor,,,n.,blossom (cf. bluma)
FLOR,flore,,,v.,blossom
FLORET,floret,,,n.,foil (fencing weapon)
FLOT,flot,,(UG=),n.,fleet
FLUD,flud,G,,n.,flood
FLUD,flude,,,v.,flood
FLUE,flue,,,v.,flow
FLUM,flum,,,n.,river
FLUM,flumkraj,,,n.,river bank
FLUOR,fluor,,,n.,fluorine
FLUX,flux,,,n.,high tide; n. issue (act of flowing out)
FOB,fob,H,,n.,fear
FOB,fobe,,,v.,fear
FOB,fobia,,,n.,"fright, anxiety"
FOB,"fobiali, fobiozi",,,adj.,anxious
FOB,"fobivi, fobli",,,adj.,fearful
FOB,foblesi,,,adj.,"fearless, intrepid"
FOB,foblesnis,,,n.,"fearlessness, intrepidity"
FOB,foblize,,,v.,frighten
FOC(A),foc(a),G,,n.,cunt (vulgar)
FOGEL,fogel,G,,n.,bird
FOK,fok,,,n.,jib (sail)
FOK,fokmast,,,n.,foremast
FOKA,foka,,,n.,"seal (pinniped; cf. sigil, plomb)"
FOKUS,fokus,,,n.,focus
FOKUS,fokuse,,,v.,focus
FOL,fol,,,n.,leaf
FOLIA,folia,,,n.,foil (material)
FOLKLOR,folklor,,,n.,folklore
FOLKLOR,folklorli,,,adj.,folkloristic
FOM,fom,,,n.,"famine, hunger"
FOM,"fomli, fomozi",,,adj.,hungry
FON,fon,,,n.,sound
FON,fonar,,,n.,sonar
FON,fonbarier,,,n.,sound barrier
FON,fondemper,,,n.,silencer
FON,fone,,,v.,sound
FON,fonem,,,n.,phoneme
FON,fonetik,,,n.,phonetics
FON,foninženier,,,n.,sound engineer
FON,fonli,,,adj.,sonic
FON,fonologia,,,n.,phonology
FON,fonori,,,adj.,sonorous
FON,fonotaktik,,,n.,phonotactics
FON,fonprob,,,n.,soundcheck
FON,fontekniker,,,n.,sound technician
FOP,fop,G,,n.,hoax
FOP,fope,,,v.,hoax
FOR,for,G,,prep.,for (because of; cf. pro)
FOREST,forest,,,n.,"forest, wood"
FOREST,forester,,,n.,forester
FOREST,forestland,,,n.,woodland
FOREST,forestlet,,,n.,grove
FOREST,forestnis,,,n.,forestry
FORIA,foria,H,,n.,mood
FORK,fork,,,n.,fork
FORK,forklet,,,n.,fork (cutlery)
FORK,forklever,,,n.,forklift
FORM,form,,,n.,"form, shape"
FORM,formabli,,,v.,formable
FORM,forme,,,v.,form
FORMALDEHID,formaldehid,,,n.,formaldehyde
FORMALI,formali,,,adj.,formal
FORMALI,formalinis,,,n.,formality
FORMAT,format,,,n.,format
FORMAT,formate,,,v.,format
FORMAT,formatnis,,,n.,formatting
FORMIK,formik,,,n.,ant
FORMIK,formikacid,,,n.,formic acid
FORMUL,formul,,,n.,formula
FORMUL,formule,,,v.,formulate
FORMUL,formulnis,,,n.,formulation
FORN,forn,,,n.,"kiln, oven, stove"
FORS,fors,,,n.,force
FORS,forse,,,v.,compel
FORŠ,forše,G,,v.,research
FORŠ,foršer,,,n.,researcher
FORŠ,foršgrup,,,n.,research group
FORŠ,foršinstitut,,,n.,research institute
FORŠ,foršnis,,,n.,research
FORT,fort,,,n.,fort (fortified defensive structure stationed with troops)
FORT,fortres,,,n.,fortress
FORUM,forum,,,n.,forum (place for discussion)
FOSFOR,fosfor,,,n.,phosphor
FOSFOR,fosforacid,,,n.,phosphoric acid
FOSIL,fosil,,,n.,fossil
FOSIL,fosiliki,,,adj.,fossile
FOTO,foto,,,n.,photo
FOTO,fotograf,,,n.,photographer
FOTO,fotografia,,,n.,photography
FOTO,fotometer,,,n.,photometer
FOTO,fotometria,,,n.,photometry
FOTON,foton,,,n.,photon
FOX,fox,G,,n.,fox
FRA,fra,,,prep.,among (cf. inter)
FRA,der e proditer fra nos,,,expr.,there is a traitor among us
FRAK,frak,,,n.,tailcoat
FRATER,frater,,,n.,sibling
FRAUD,fraud,,,n.,fraud
FRAUD,frauder,,,n.,fraudster
FRAUD,fraudivi,,,adj.,fraudulent
FRAZ,fraza,,,n.,sentence (grammatically complete series of words)
FRAZ,frazeo,,,n.,"phrase, idiom, figure of speech"
FRAZ,frazeologia,,,n.,phraseology
FREJDAG,frejdag,G,,n.,Friday
FREJM,frejm,G,,n.,frame
FREJM,frejme,,,v.,frame
FREK,freki,G,,adj.,"cheeky (bold, rude)"
FREK,freknis,,,n.,"cheek, insolence, impudence"
FREMD,fremdi,G,,adj.,"strange, foreign"
FREMD,fremdin,,,n.,"stranger, foreigner"
FREMD,fremdkorp,,,n.,foreign body
FREMD,fremdlingua,,,n.,foreign language
FREMD,fremdnis,,,n.,"strangeness, foreignness"
FREMD,fremdokratia,,,n.,foreign rule
FREMD,fremdvort,,,n.,foreign word
FREND,frend,G,,n.,friend
FREND,frendli,,,adj.,"friendly, kind"
FREND,frendlinis,,,n.,"friendliness, kindness"
FREND,frendnis,,,n.,friendship
FRENZ,frenzi,,,adj.,frenzy
FREŠ,freši,,,adj.,fresh
FREŠ,frešize,,,v.,refresh
FREŠ,frešnis,,,n.,freshness
FREŠ,frešvoda,,,n.,freshwater
FREŠ,frešvodasump,,,n.,freshwater swamp
FREZ,freza,,,n.,milling cutter
FREZ,freze,,,v.,mill (metal)
FREZIA,frezia,,,n.,freesia
FRIG,frigi,,,adj.,cool
FRIG,frigize,,,v.,cool
FRIG,frigiznis,,,n.,cooling
FRIG,frignis,,,n.,coolness
FRIZ,frizi,,,adj.,Frisian
FRIZ,Frizia,,,n.,Frisia
FROG,frog,G,,n.,question
FROG,"frogabli, frogverdi",,,adj.,questionable
FROG,froge,,,v.,ask
FROG,poze (en) frog,,,expr.,ask a question
FROM,fromard,G,,n.,bigot
FROM,fromardnis,,,n.,bigotry
FROM,fromi,,,adj.,pious
FROM,fromnis,,,n.,"piousness, piety"
FRONSE,fronse,,,v.,"frown, scowl (wrinkling of the brows or face)"
FRONT,front,,,n.,front
FROST,frost,G,,n.,frost
FROST,froste,,,v.,freeze
FROST,frosteni,,,adj.,frozen
FROST,frostprotektment,,,n.,anti-freeze
FROST,frostprotektnis,,,n.,frost protection
FROŠ,froš,G,,n.,frog
FRUGAL,frugali,,,adj.,frugal
FRUGAL,frugalnis,,,n.,frugality
FRUI,frui,G,,adj.,early
FRUI,frui fogel kapte vurm,,,expr.,the early bird catches the worm
FRUI,fruim,,,adv.,early
FRUKT,frukt,,,n.,fruit
FRUKT,fruktferenti,,,adj.,fructiferous
FRUKT,fruktlesi,,,adj.,fruitless
FRUKT,fruktozi,,,adj.,fruitful
FRUKT,fruktoznis,,,n.,fruitfulness
FRUKT,fruktsok,,,n.,fruit juice
FUGIT,fugit,,,n.,"escape, flight (act of fleeing)"
FUGIT,fugite,,,v.,flee
FUGIT,fugiter,,,n.,refugee
FUL,fuli,G,,adj.,full
FUL,fulim,,,adv.,fully
FUL,fulize,,,v.,fill
FUM,fum,,,n.,smoke
FUM,fume,,,v.,smoke
FUM,fumer,,,n.,smoker
FUML,fumle,G,,v.,fumble
FUNCION,funcion,,,n.,function
FUNCION,funcione,,,v.,function
FUND,fund,,,n.,fund
FUND,fundacion,,,n.,foundation (donation or legacy)
FUND,funde,,,v.,found
FUND,fundnis,,,n.,"foundation (act of founding, fixing, establishing, or beginning to erect)"
FUNDAMENT,fundament,,,n.,fundament
FUNDAMENT,fundamentali,,,adj.,fundamental (essential; extremely important; elementary)
FUNDAMENT,fundamentalismo,,,n.,fundamentalism
FUNDAMENT,fundamentli,,,adj.,"fundamental (related to a foundation, base, or basis; serving as a foundation);"
FUNK,funk,,,n.,radio (cf. radio)
FUNK,funkantena,,,n.,radio antenna
FUNK,funkaparat,,,n.,"radio set, two-way radio, radio transceiver"
FUNK,funke,,,v.,radio
FUNK,funker,,,n.,radio operator
FUNK,funksignal,,,n.,radio signal
FUNK,funkvog,,,n.,radio wave
FUNKL,funkle,G,,v.,sparkle
FUNT,funt,,,n.,pound (unit of mass)
FURC,furc,G,,n.,fart
FURC,furce,,,v.,fart
FUROR,furor,,,n.,"fury, rage"
FUROR,furorli,,,n.,furious
FURT,furt,G,,n.,ford
FUS,fus,,,n.,spindle
FUT,fut,G,,n.,foot
FUTBOL,futbol,,,n.,football (AE soccer)
FUTBOL,futboler,,,n.,footballer
FUTBOL,futbolfeld,,,n.,football pitch
FUTBOL,futbolmajsternis,,,n.,football championship
FUTBOL,futbolmeč,,,n.,football match
FUTBOL,futbolspiler,,,n.,football player
FUTBOL,futbolstadion,,,n.,football stadium
FUTBOL,futboltim,,,n.,football team
FUTBOL,futboltrejner,,,n.,football trainer/coach
FUTUR,futur,,,n.,future
FUTUR,futurli,,,adj.,future
FUZ,fuze,,,v.,pour (a liquid)
GAC,gac,,,n.,guts (slang: courage)
GADŽET,gadžet,,,n.,gadget
GAELIKI,gaeliki,,,adj.,Gaelic
GAJL,gajli,G,,adj.,horny (sexually aroused)
GAJL,gajlnis,,,n.,horniness
GAJTA,gajta,,,n.,bagpipe
GAJZEL,gajzel,G,,n.,hostage
GAJZEL,gajzelprender,,,n.,"hostage-taker, kidnapper, captor"
GAJZEL,gajzelprendnis,,,n.,taking of hostages
GAL,gali,,,adj.,Gaulish
GAL,Galia,,,n.,Gaul
GAL,galomania,,,n.,Gallomania
GALA,gala,,,n.,gala
GALANT,galanti,,,adj.,gallant
GALANT,galantnis,,,n.,gallantry
GALE,galeas,,,n.,galleass
GALE,galeon,,,n.,galleon
GALON,galon,,,n.,gallon
GAMIA,gamia,,,n.,"matrimony, marriage (state of being married; life as a married couple; cf. spoznis)"
GAN,gan,,,n.,"earning, gain"
GAN,gane,,,v.,"earn, gain"
GAN,ganer,,,n.,earner
GANGSTER,gangster,G,,n.,gangster
GANS,gans,,,n.,goose
GAP,gap,G,,n.,gap
GAP,gaplesi,,,adj.,"gapless, without a gap"
GAP,"gapli, gapozi",,,adj.,"patchy, scrappy"
GARANT,garantabli,,,adj.,guaranteeable
GARANT,garante,,,v.,guarantee
GARANT,garanter,,,n.,garantor
GARANT,garantnis,,,n.,"guarantee, warranty"
GARAŽA,garaža,,,n.,garage
GARGLE,gargle,G,,v.,gargle
GARN,garn,G,,n.,yarn
